Word	CEFR	Part of Speech
fly	“A2”	Verb
exciting	“A2”	Adjective
originally	“A2”	Adverb
external	“A2”	Adjective
past	“A2”	Noun
appoint	“A2”	Verb
near	“A2”	Adjective
expand	“A2”	Verb
photograph	“A2”	Noun
install	“A2”	Verb
income	“A2”	Noun
weight	“A2”	Noun
very	“A2”	Adjective
closely	“A2”	Adverb
run	“A2”	Noun
arm	“A2”	Noun
there	“A2”	Adverb
friendly	“A2”	Adjective
setting	“A2”	Noun
admit	“A2”	Verb
touch	“A2”	Noun
association	“A2”	Noun
refuse	“A2”	Verb
internal	“A2”	Adjective
obvious	“A2”	Adjective
secure	“A2”	Verb
driver	“A2”	Noun
retain	“A2”	Verb
obviously	“A2”	Adverb
hotel	“A2”	Noun
employer	“A2”	Noun
weather	“A2”	Noun
balance	“A2”	Noun
along	“A2”	Adverb
correct	“A2”	Adjective
age	“A2”	Verb
Catholic	“A2”	Adjective
cross	“A2”	Verb
agent	“A2”	Noun
ideal	“A2”	Adjective
Japanese	“A2”	Adjective
blood	“A2”	Noun
historical	“A2”	Adjective
stock	“A2”	Noun
suppose	“A2”	Verb
drive	“A2”	Noun
writer	“A2”	Noun
notice	“A2”	Noun
fast	“A2”	Adverb
attitude	“A2”	Noun
stone	“A2”	Noun
fresh	“A2”	Adjective
good	“A2”	Noun
corner	“A2”	Noun
engine	“A2”	Noun
wonder	“A2”	Verb
opening	“A2”	Noun
award	“A2”	Verb
investigation	“A2”	Noun
insurance	“A2”	Noun
push	“A2”	Verb
specifically	“A2”	Adverb
incorporate	“A2”	Verb
live	“A2”	Adjective
writing	“A2”	Noun
earth	“A2”	Noun
notice	“A2”	Verb
budget	“A2”	Noun
hope	“A2”	Noun
tax	“A2”	Noun
actual	“A2”	Adjective
consequence	“A2”	Noun
rock	“A2”	Noun
afternoon	“A2”	Noun
instruction	“A2”	Noun
mark	“A2”	Noun
break	“A2”	Noun
educational	“A2”	Adjective
since	“A2”	Adverb
busy	“A2”	Adjective
device	“A2”	Noun
traffic	“A2”	Noun
error	“A2”	Noun
truth	“A2”	Noun
neither	“A2”	Adverb
neither	“A2”	Pronoun
survive	“A2”	Verb
college	“A2”	Noun
African	“A2”	Adjective
inside	“A2”	Preposition
appearance	“A2”	Noun
approximately	“A2”	Adverb
Iraqui	“A2”	Adjective
colleague	“A2”	Noun
oil	“A2”	Noun
radio	“A2”	Noun
little	“A2”	Adverb
feed	“A2”	Verb
river	“A2”	Noun
digital	“A2”	Adjective
lesson	“A2”	Noun
proper	“A2”	Adjective
truly	“A2”	Adverb
entitle	“A2”	Verb
recommendation	“A2”	Noun
store	“A2”	Noun
entirely	“A2”	Adverb
train	“A2”	Noun
Asia	“A2”	Noun
dark	“A2”	Adjective
beat	“A2”	Verb
profile	“A2”	Noun
edit	“A2”	Verb
electronic	“A2”	Adjective
fairly	“A2”	Adverb
threat	“A2”	Noun
distribution	“A2”	Noun
Latin	“A2”	Noun
Muslim	“A2”	Noun
plenty	“A2”	Pronoun
behalf	“A2”	Noun
permission	“A2”	Noun
approve	“A2”	Verb
shape	“A2”	Noun
observe	“A2”	Verb
aid	“A2”	Noun
valuable	“A2”	Adjective
seat	“A2”	Noun
injury	“A2”	Noun
appreciate	“A2”	Verb
television	“A2”	Noun
numerous	“A2”	Adjective
fantastic	“A2”	Adjective
properly	“A2”	Adverb
newspaper	“A2”	Noun
joint	“A2”	Adjective
carefully	“A2”	Adverb
double	“A2”	Adjective
Welsh	“A2”	Noun
stick	“A2”	Verb
peace	“A2”	Noun
cover	“A2”	Noun
Jew	“A2”	Noun
ticket	“A2”	Noun
hard	“A2”	Adverb
challenge	“A2”	Verb
sure	“A2”	Adverb
suit	“A2”	Verb
brand	“A2”	Noun
care	“A2”	Verb
implication	“A2”	Noun
match	“A2”	Noun
key	“A2”	Noun
destroy	“A2”	Verb
illustrate	“A2”	Verb
Spanish	“A2”	Adjective
sufficient	“A2”	Adjective
reasonable	“A2”	Adjective
imagine	“A2”	Verb
baby	“A2”	Noun
above	“A2”	Adverb
healthy	“A2”	Adjective
preparation	“A2”	Noun
pain	“A2”	Noun
divide	“A2”	Verb
apparently	“A2”	Adverb
dog	“A2”	Noun
camera	“A2”	Noun
union	“A2”	Noun
feedback	“A2”	Noun
restaurant	“A2”	Noun
frequently	“A2”	Adverb
Greek	“A2”	Adjective
trust	“A2”	Noun
warm	“A2”	Adjective
daughter	“A2”	Noun
pair	“A2”	Noun
prefer	“A2”	Verb
less	“A2”	Determiner
cold	“A2”	Adjective
winter	“A2”	Noun
twice	“A2”	Adverb
self	“A2”	Noun
ignore	“A2”	Verb
reduction	“A2”	Noun
cell	“A2”	Noun
belief	“A2”	Noun
host	“A2”	Verb
appointment	“A2”	Noun
check	“A2”	Noun
speech	“A2”	Noun
book	“A2”	Verb
concentrate	“A2”	Verb
impossible	“A2”	Adjective
gather	“A2”	Verb
living	“A2”	Noun
ancient	“A2”	Adjective
anyway	“A2”	Adverb
favourite	“A2”	Adjective
exchange	“A2”	Noun
Russian	“A2”	Adjective
tip	“A2”	Noun
settle	“A2”	Verb
immediate	“A2”	Adjective
oh	“A2”	Exclamation
definition	“A2”	Noun
New Zealand	“A2”	Noun
quarter	“A2”	Noun
gift	“A2”	Noun
bottom	“A2”	Noun
rely	“A2”	Verb
French	“A2”	Noun
equally	“A2”	Adverb
brief	“A2”	Adjective
examination	“A2”	Noun
substantial	“A2”	Adjective
button	“A2”	Noun
block	“A2”	Noun
voluntary	“A2”	Adjective
gap	“A2”	Noun
keen	“A2”	Adjective
spread	“A2”	Verb
administration	“A2”	Noun
licence	“A2”	Noun
volunteer	“A2”	Noun
host	“A2”	Noun
typical	“A2”	Adjective
sight	“A2”	Noun
cash	“A2”	Noun
input	“A2”	Noun
hang	“A2”	Verb
score	“A2”	Noun
belong	“A2”	Verb
spot	“A2”	Noun
speaker	“A2”	Noun
identity	“A2”	Noun
boat	“A2”	Noun
output	“A2”	Noun
totally	“A2”	Adverb
gas	“A2”	Noun
bill	“A2”	Noun
slow	“A2”	Adjective
ourselves	“A2”	Pronoun
equal	“A2”	Adjective
vast	“A2”	Adjective
faith	“A2”	Noun
following	“A2”	Pronoun
store	“A2”	Verb
cycle	“A2”	Noun
wind	“A2”	Noun
seriously	“A2”	Adverb
will	“A2”	Noun
outline	“A2”	Verb
accident	“A2”	Noun
Asian	“A2”	Adjective
estate	“A2”	Noun
mental	“A2”	Adjective
pool	“A2”	Noun
waste	“A2”	Noun
massive	“A2”	Adjective
Welsh	“A2”	Adjective
mostly	“A2”	Adverb
guarantee	“A2”	Verb
comparison	“A2”	Noun
origin	“A2”	Noun
proportion	“A2”	Noun
while	“A2”	Noun
absolutely	“A2”	Adverb
kid	“A2”	Noun
sheet	“A2”	Noun
depth	“A2”	Noun
meaning	“A2”	Noun
permit	“A2”	Verb
flexible	“A2”	Adjective
profit	“A2”	Noun
straight	“A2”	Adverb
division	“A2”	Noun
quote	“A2”	Verb
phase	“A2”	Noun
chapter	“A2”	Noun
burn	“A2”	Verb
secondary	“A2”	Adjective
outside	“A2”	Adjective
over	“A2”	Adverb
album	“A2”	Noun
election	“A2”	Noun
menu	“A2”	Noun
movie	“A2”	Noun
domestic	“A2”	Adjective
foundation	“A2”	Noun
Indian	“A2”	Adjective
dream	“A2”	Noun
promise	“A2”	Verb
wood	“A2”	Noun
back	“A2”	Verb
extension	“A2”	Noun
comfortable	“A2”	Adjective
mountain	“A2”	Noun
amazing	“A2”	Adjective
solve	“A2”	Verb
farm	“A2”	Noun
guy	“A2”	Noun
branch	“A2”	Noun
theatre	“A2”	Noun
loads	“A2”	Noun
relax	“A2”	Verb
island	“A2”	Noun
strike	“A2”	Verb
clear	“A2”	Verb
communicate	“A2”	Verb
spring	“A2”	Noun
rural	“A2”	Adjective
consultant	“A2”	Noun
dangerous	“A2”	Adjective
flat	“A2”	Adjective
shoot	“A2”	Verb
module	“A2”	Noun
necessarily	“A2”	Adverb
front	“A2”	Adjective
guidelines	“A2”	Noun
outstanding	“A2”	Adjective
channel	“A2”	Noun
advanced	“A2”	Adjective
instrument	“A2”	Noun
practise	“A2”	Verb
automatically	“A2”	Adverb
bright	“A2”	Adjective
reputation	“A2”	Noun
remind	“A2”	Verb
temperature	“A2”	Noun
second	“A2”	Adverb
purchase	“A2”	Noun
left	“A2”	Noun
shot	“A2”	Noun
representation	“A2”	Noun
exception	“A2”	Noun
visual	“A2”	Adjective
expense	“A2”	Noun
impressive	“A2”	Adjective
trend	“A2”	Noun
pub	“A2”	Noun
explanation	“A2”	Noun
manufacturer	“A2”	Noun
scientist	“A2”	Noun
declare	“A2”	Verb
repeat	“A2”	Verb
ship	“A2”	Noun
registration	“A2”	Noun
strange	“A2”	Adjective
entrance	“A2”	Noun
warn	“A2”	Verb
disability	“A2”	Noun
height	“A2”	Noun
press	“A2”	Verb
attractive	“A2”	Adjective
consult	“A2”	Verb
threaten	“A2”	Verb
somewhat	“A2”	Adverb
earn	“A2”	Verb
shopping	“A2”	Noun
Australian	“A2”	Adjective
willing	“A2”	Adjective
prize	“A2”	Noun
Easter	“A2”	Noun
permanent	“A2”	Adjective
anywhere	“A2”	Adverb
hill	“A2”	Noun
east	“A2”	Adjective
back	“A2”	Adjective
beach	“A2”	Noun
soft	“A2”	Adjective
leaf	“A2”	Noun
ongoing	“A2”	Adjective
emergency	“A2”	Noun
expectation	“A2”	Noun
expose	“A2”	Verb
last	“A2”	Verb
hide	“A2”	Verb
master	“A2”	Noun
affair	“A2”	Noun
unlike	“A2”	Preposition
unlikely	“A2”	Adjective
root	“A2”	Noun
chain	“A2”	Noun
victim	“A2”	Noun
recover	“A2”	Verb
county	“A2”	Noun
premises	“A2”	Noun
engineering	“A2”	Noun
compete	“A2”	Verb
marry	“A2”	Verb
bridge	“A2”	Noun
installation	“A2”	Noun
dance	“A2”	Noun
unusual	“A2”	Adjective
sex	“A2”	Noun
hole	“A2”	Noun
Islam	“A2”	Noun
boundary	“A2”	Noun
elect	“A2”	Verb
frame	“A2”	Noun
skin	“A2”	Noun
afford	“A2”	Verb
count	“A2”	Verb
cut	“A2”	Noun
recording	“A2”	Noun
mistake	“A2”	Noun
pack	“A2”	Noun
preserve	“A2”	Verb
secure	“A2”	Adjective
lady	“A2”	Noun
index	“A2”	Noun
adapt	“A2”	Verb
absence	“A2”	Noun
written	“A2”	Adjective
found	“A2”	Verb
crowd	“A2”	Noun
crucial	“A2”	Adjective
rapidly	“A2”	Adverb
suddenly	“A2”	Adverb
scope	“A2”	Noun
surely	“A2”	Adverb
fall	“A2”	Noun
solid	“A2”	Adjective
brain	“A2”	Noun
experienced	“A2”	Adjective
hand	“A2”	Verb
hall	“A2”	Noun
careful	“A2”	Adjective
stop	“A2”	Noun
west	“A2”	Noun
round	“A2”	Adverb
brilliant	“A2”	Adjective
twenty	“A2”	Number
north	“A2”	Noun
pay	“A2”	Noun
mind	“A2”	Verb
ring	“A2”	Noun
wedding	“A2”	Noun
kick	“A2”	Verb
honest	“A2”	Adjective
blow	“A2”	Verb
south	“A2”	Noun
fault	“A2”	Noun
alive	“A2”	Adjective
straight	“A2”	Adjective
twelve	“A2”	Number
bike	“A2”	Noun
middle	“A2”	Adjective
cry	“A2”	Verb
thick	“A2”	Adjective
ice	“A2”	Noun
van	“A2”	Noun
mine	“A2”	Pronoun
sick	“A2”	Adjective
afraid	“A2”	Adjective
pocket	“A2”	Noun
sweet	“A2”	Adjective
south	“A2”	Adjective
square	“A2”	Adjective
glad	“A2”	Adjective
desk	“A2”	Noun
boot	“A2”	Noun
exam	“A2”	Noun
thirty	“A2”	Number
swimming	“A2”	Noun
terrible	“A2”	Adjective
clock	“A2”	Noun
shut	“A2”	Verb
anybody	“A2”	Pronoun
hurt	“A2”	Verb
god	“A2”	Noun
hat	“A2”	Noun
bread	“A2”	Noun
cream	“A2”	Noun
knee	“A2”	Noun
dish	“A2”	Noun
shout	“A2”	Verb
dress	“A2”	Noun
snow	“A2”	Noun
green	“A2”	Noun
salt	“A2”	Noun
nose	“A2”	Noun
swim	“A2”	Verb
west	“A2”	Adjective
somebody	“A2”	Pronoun
sugar	“A2”	Noun
cake	“A2”	Noun
tired	“A2”	Adjective
sleep	“A2”	Noun
toy	“A2”	Noun
coat	“A2”	Noun
wake	“A2”	Verb
plastic	“A2”	Adjective
mad	“A2”	Adjective
pen	“A2”	Noun
fat	“A2”	Adjective
nowhere	“A2”	Adverb
fifty	“A2”	Number
smoke	“A2”	Noun
watch	“A2”	Noun
dining	“A2”	Noun
clever	“A2”	Adjective
chocolate	“A2”	Noun
loud	“A2”	Adjective
fifteen	“A2”	Number
forty	“A2”	Number
round	“A2”	Preposition
grey	“A2”	Adjective
chicken	“A2”	Noun
shirt	“A2”	Noun
married	“A2”	Adjective
cheese	“A2”	Noun
stupid	“A2”	Adjective
eleven	“A2”	Number
dirty	“A2”	Adjective
dad	“A2”	Noun
awful	“A2”	Adjective
mum	“A2”	Adjective
moon	“A2”	Noun
zero	“A2”	Number
shower	“A2”	Noun
pink	“A2”	Adjective
fourteen	“A2”	Number
sixteen	“A2”	Number
thirteen	“A2”	Number
eighteen	“A2”	Number
upstairs	“A2”	Adverb
sir	“A2”	Noun
granddad	“A2”	Noun
grandma	“A2”	Noun
used	“A2”	Adjective
worried	“A2”	Adjective
downstairs	“A2”	Adverb
pleased	“A2”	Adjective
east	“A2”	Noun
asleep	“A2”	Adjective
carrot	“A2”	Noun
fortnight	“A2”	Noun
toast	“A2”	Noun
hurry	“A2”	Verb
banana	“A2”	Noun
crisps	“A2”	Noun
sausage	“A2”	Noun
pencil	“A2”	Noun
nought	“A2”	Number
awake	“A2”	Adjective
jeans	“A2”	Noun
pizza	“A2”	Noun
bun	“A2”	Noun
pea	“A2”	Noun
cheers	“A2”	Exclamation
bacon	“A2”	Noun
sock	“A2”	Noun
ham	“A2”	Noun
sixty	“A2”	Number
seventy	“A2”	Number
eighty	“A2”	Number
ninety	“A2”	Number
seventeen	“A2”	Number
nineteen	“A2”	Number
service	“B1”	Noun
however	“B1”	Adverb
within	“B1”	Preposition
available	“B1”	Adjective
local	“B1”	Adjective
develop	“B1”	Verb
issue	“B1”	Noun
level	“B1”	Noun
lead	“B1”	Verb
require	“B1”	Verb
development	“B1”	Noun
form	“B1”	Noun
result	“B1”	Noun
involve	“B1”	Verb
detail	“B1”	Noun
further	“B1”	Adjective
receive	“B1”	Verb
event	“B1”	Noun
support	“B1”	Verb
experience	“B1”	Noun
create	“B1”	Verb
base	“B1”	Verb
project	“B1”	Noun
range	“B1”	Noun
term	“B1”	Noun
consider	“B1”	Verb
support	“B1”	Noun
process	“B1”	Noun
produce	“B1”	Verb
research	“B1”	Noun
community	“B1”	Noun
activity	“B1”	Noun
government	“B1”	Noun
appear	“B1”	Verb
remain	“B1”	Verb
public	“B1”	Adjective
increase	“B1”	Verb
staff	“B1”	Noun
study	“B1”	Noun
quality	“B1”	Noun
several	“B1”	Adjective
report	“B1”	Noun
particular	“B1”	Adjective
current	“B1”	Adjective
link	“B1”	Noun
effect	“B1”	Noun
major	“B1”	Adjective
role	“B1”	Noun
period	“B1”	Noun
section	“B1”	Noun
material	“B1”	Noun
practice	“B1”	Noun
access	“B1”	Noun
value	“B1”	Noun
policy	“B1”	Noun
condition	“B1”	Noun
application	“B1”	Noun
due	“B1”	Adjective
contact	“B1”	Noun
product	“B1”	Noun
data	“B1”	Noun
skill	“B1”	Noun
training	“B1”	Noun
management	“B1”	Noun
source	“B1”	Noun
various	“B1”	Adjective
design	“B1”	Verb
reduce	“B1”	Verb
raise	“B1”	Verb
state	“B1”	Noun
achieve	“B1”	Verb
social	“B1”	Adjective
return	“B1”	Verb
approach	“B1”	Noun
personal	“B1”	Adjective
resource	“B1”	Noun
throughout	“B1”	Preposition
identify	“B1”	Verb
benefit	“B1”	Noun
performance	“B1”	Noun
recent	“B1”	Adjective
contact	“B1”	Verb
design	“B1”	Noun
relate	“B1”	Verb
knowledge	“B1”	Noun
industry	“B1”	Noun
final	“B1”	Adjective
environment	“B1”	Noun
appropriate	“B1”	Adjective
encourage	“B1”	Verb
article	“B1”	Noun
report	“B1”	Verb
series	“B1”	Noun
standard	“B1”	Noun
method	“B1”	Noun
simply	“B1”	Adverb
form	“B1”	Verb
purpose	“B1”	Noun
individual	“B1”	Adjective
subject	“B1”	Noun
click	“B1”	Noun
evidence	“B1”	Noun
discuss	“B1”	Verb
specific	“B1”	Adjective
feature	“B1”	Noun
facility	“B1”	Noun
represent	“B1”	Verb
future	“B1”	Noun
exist	“B1”	Verb
introduce	“B1”	Verb
image	“B1”	Noun
option	“B1”	Noun
previous	“B1”	Adjective
version	“B1”	Noun
century	“B1”	Noun
international	“B1”	Adjective
basis	“B1”	Noun
risk	“B1”	Noun
review	“B1”	Noun
scheme	“B1”	Noun
aspect	“B1”	Noun
return	“B1”	Noun
nature	“B1”	Noun
operate	“B1”	Verb
third	“B1”	Number
individual	“B1”	Noun
authority	“B1”	Noun
aim	“B1”	Verb
variety	“B1”	Noun
attend	“B1”	Verb
structure	“B1”	Noun
whilst	“B1”	Conjunction
via	“B1”	Preposition
document	“B1”	Noun
concern	“B1”	Verb
effective	“B1”	Adjective
reference	“B1”	Noun
future	“B1”	Adjective
further	“B1”	Adverb
regard	“B1”	Verb
fully	“B1”	Adverb
recognise	“B1”	Verb
concern	“B1”	Noun
professional	“B1”	Adjective
production	“B1”	Noun
finally	“B1”	Adverb
refer	“B1”	Verb
remove	“B1”	Verb
responsibility	“B1”	Noun
force	“B1”	Noun
collection	“B1”	Noun
sector	“B1”	Noun
perform	“B1”	Verb
financial	“B1”	Adjective
item	“B1”	Noun
determine	“B1”	Verb
clearly	“B1”	Adverb
avoid	“B1”	Verb
responsible	“B1”	Adjective
occur	“B1”	Verb
link	“B1”	Verb
element	“B1”	Noun
treatment	“B1”	Noun
direct	“B1”	Adjective
gain	“B1”	Verb
aim	“B1”	Noun
result	“B1”	Verb
political	“B1”	Adjective
understanding	“B1”	Noun
recommend	“B1”	Verb
function	“B1”	Noun
career	“B1”	Noun
region	“B1”	Noun
view	“B1”	Verb
introduction	“B1”	Noun
prevent	“B1”	Verb
annual	“B1”	Adjective
title	“B1”	Noun
protect	“B1”	Verb
factor	“B1”	Noun
indicate	“B1”	Verb
intend	“B1”	Verb
traditional	“B1”	Adjective
select	“B1”	Verb
safety	“B1”	Noun
legal	“B1”	Adjective
extend	“B1”	Verb
feature	“B1”	Verb
welcome	“B1”	Verb
practical	“B1”	Adjective
statement	“B1”	Noun
loss	“B1”	Noun
relation	“B1”	Noun
conference	“B1”	Noun
independent	“B1”	Adjective
search	“B1”	Noun
rise	“B1”	Verb
movement	“B1”	Noun
culture	“B1”	Noun
experience	“B1”	Verb
public	“B1”	Noun
contribution	“B1”	Noun
procedure	“B1”	Noun
positive	“B1”	Adjective
population	“B1”	Noun
advantage	“B1”	Noun
campaign	“B1”	Noun
guide	“B1”	Noun
target	“B1”	Noun
director	“B1”	Noun
increase	“B1”	Noun
demand	“B1”	Noun
visitor	“B1”	Noun
supply	“B1”	Verb
offer	“B1”	Noun
base	“B1”	Noun
release	“B1”	Verb
context	“B1”	Noun
announce	“B1”	Verb
inform	“B1”	Verb
specialist	“B1”	Noun
state	“B1”	Verb
confirm	“B1”	Verb
lack	“B1”	Noun
update	“B1”	Verb
advise	“B1”	Verb
active	“B1”	Adjective
competition	“B1”	Noun
delivery	“B1”	Noun
program	“B1”	Noun
trade	“B1”	Noun
arrangement	“B1”	Noun
patient	“B1”	Noun
worker	“B1”	Noun
behaviour	“B1”	Noun
majority	“B1”	Noun
cause	“B1”	Noun
adult	“B1”	Noun
topic	“B1”	Noun
primary	“B1”	Adjective
concept	“B1”	Noun
agreement	“B1”	Noun
previously	“B1”	Adverb
scene	“B1”	Noun
medical	“B1”	Adjective
opinion	“B1”	Noun
consist	“B1”	Verb
employ	“B1”	Verb
implement	“B1”	Verb
presentation	“B1”	Noun
fee	“B1”	Noun
payment	“B1”	Noun
force	“B1”	Verb
claim	“B1”	Noun
investment	“B1”	Noun
planning	“B1”	Noun
share	“B1”	Noun
act	“B1”	Noun
duty	“B1”	Noun
connect	“B1”	Verb
strength	“B1”	Noun
limit	“B1”	Verb
disease	“B1”	Noun
conduct	“B1”	Verb
scale	“B1”	Noun
vehicle	“B1”	Noun
etc	“B1”	Abbreviation
volume	“B1”	Noun
possibility	“B1”	Noun
institution	“B1”	Noun
object	“B1”	Noun
academic	“B1”	Adjective
instance	“B1”	Noun
engage	“B1”	Verb
code	“B1”	Noun
extensive	“B1”	Adjective
date	“B1”	Verb
attack	“B1”	Noun
register	“B1”	Verb
order	“B1”	Verb
consultation	“B1”	Noun
transport	“B1”	Noun
enhance	“B1”	Verb
occasion	“B1”	Noun
confidence	“B1”	Noun
travel	“B1”	Noun
emerge	“B1”	Verb
priority	“B1”	Noun
tour	“B1”	Noun
influence	“B1”	Noun
accommodation	“B1”	Noun
cultural	“B1”	Adjective
extent	“B1”	Noun
trial	“B1”	Noun
broad	“B1”	Adjective
database	“B1”	Noun
presence	“B1”	Noun
regional	“B1”	Adjective
charity	“B1”	Noun
amongst	“B1”	Preposition
component	“B1”	Noun
monitor	“B1”	Verb
economy	“B1”	Noun
membership	“B1”	Noun
regularly	“B1”	Adverb
related	“B1”	Adjective
daily	“B1”	Adjective
manner	“B1”	Noun
comment	“B1”	Verb
participate	“B1”	Verb
measure	“B1”	Verb
limit	“B1”	Noun
unable	“B1”	Adjective
increasingly	“B1”	Adverb
search	“B1”	Verb
awareness	“B1”	Noun
approach	“B1”	Verb
considerable	“B1”	Adjective
species	“B1”	Noun
vital	“B1”	Adjective
fear	“B1”	Noun
housing	“B1”	Noun
legislation	“B1”	Noun
sample	“B1”	Noun
provider	“B1”	Noun
crime	“B1”	Noun
framework	“B1”	Noun
average	“B1”	Adjective
pupil	“B1”	Noun
formal	“B1”	Adjective
nation	“B1”	Noun
editor	“B1”	Noun
suggestion	“B1”	Noun
senior	“B1”	Adjective
corporate	“B1”	Adjective
transfer	“B1”	Verb
vision	“B1”	Noun
creation	“B1”	Noun
conclude	“B1”	Verb
venue	“B1”	Noun
guest	“B1”	Noun
implementation	“B1”	Noun
edition	“B1”	Noun
summary	“B1”	Noun
grant	“B1”	Verb
attach	“B1”	Verb
print	“B1”	Verb
tradition	“B1”	Noun
consumer	“B1”	Noun
perspective	“B1”	Noun
rise	“B1”	Noun
expertise	“B1”	Noun
widely	“B1”	Adverb
alongside	“B1”	Preposition
achievement	“B1”	Noun
elsewhere	“B1”	Adverb
decade	“B1”	Noun
acquire	“B1”	Verb
assistance	“B1”	Noun
creative	“B1”	Adjective
winner	“B1”	Noun
learning	“B1”	Noun
accessible	“B1”	Adjective
qualify	“B1”	Verb
tackle	“B1”	Verb
candidate	“B1”	Noun
comprise	“B1”	Verb
foreign	“B1”	Adjective
scientific	“B1”	Adjective
accompany	“B1”	Verb
maintenance	“B1”	Noun
battle	“B1”	Noun
grant	“B1”	Noun
largely	“B1”	Adverb
rare	“B1”	Adjective
total	“B1”	Noun
mobile	“B1”	Adjective
prior	“B1”	Adjective
danger	“B1”	Noun
present	“B1”	Noun
marketing	“B1”	Noun
mechanism	“B1”	Noun
appeal	“B1”	Noun
finding	“B1”	Noun
industrial	“B1”	Adjective
familiar	“B1”	Adjective
helpful	“B1”	Adjective
contemporary	“B1”	Adjective
participant	“B1”	Noun
copyright	“B1”	Noun
celebrate	“B1”	Verb
criterion	“B1”	Noun
panel	“B1”	Noun
organisational	“B1”	Adjective
researcher	“B1”	Noun
successfully	“B1”	Adverb
involvement	“B1”	Noun
freedom	“B1”	Noun
construct	“B1”	Verb
flight	“B1”	Noun
emphasis	“B1”	Noun
initially	“B1”	Adverb
religious	“B1”	Adjective
enquiry	“B1”	Noun
qualification	“B1”	Noun
distribute	“B1”	Verb
forum	“B1”	Noun
oppose	“B1”	Verb
conflict	“B1”	Noun
atmosphere	“B1”	Noun
convert	“B1”	Verb
print	“B1”	Noun
download	“B1”	Verb
literature	“B1”	Noun
multiple	“B1”	Adjective
military	“B1”	Adjective
evaluation	“B1”	Noun
efficient	“B1”	Adjective
agenda	“B1”	Noun
supplier	“B1”	Noun
download	“B1”	Noun
satisfy	“B1”	Verb
innovative	“B1”	Adjective
clinical	“B1”	Adjective
expression	“B1”	Noun
flow	“B1”	Noun
strategic	“B1”	Adjective
platform	“B1”	Noun
fourth	“B1”	Number
specify	“B1”	Verb
recognition	“B1”	Noun
complaint	“B1”	Noun
youth	“B1”	Noun
incident	“B1”	Noun
reaction	“B1”	Noun
core	“B1”	Adjective
maximum	“B1”	Adjective
intention	“B1”	Noun
capture	“B1”	Verb
situate	“B1”	Verb
birth	“B1”	Noun
acknowledge	“B1”	Verb
succeed	“B1”	Verb
resolve	“B1”	Verb
significantly	“B1”	Adverb
defence	“B1”	Noun
civil	“B1”	Adjective
strongly	“B1”	Adverb
accurate	“B1”	Adjective
specialise	“B1”	Verb
mode	“B1”	Noun
facilitate	“B1”	Verb
landscape	“B1”	Noun
capable	“B1”	Adjective
exclude	“B1”	Verb
estimate	“B1”	Verb
existence	“B1”	Noun
inspire	“B1”	Verb
subsequent	“B1”	Adjective
pursue	“B1”	Verb
desire	“B1”	Noun
evaluate	“B1”	Verb
politics	“B1”	Noun
experiment	“B1”	Noun
climate	“B1”	Noun
restore	“B1”	Verb
graduate	“B1”	Noun
historic	“B1”	Adjective
proud	“B1”	Adjective
insight	“B1”	Noun
participation	“B1”	Noun
negative	“B1”	Adjective
promotion	“B1”	Noun
invest	“B1”	Verb
competitive	“B1”	Adjective
deny	“B1”	Verb
fundamental	“B1”	Adjective
diverse	“B1”	Adjective
minimum	“B1”	Adjective
classic	“B1”	Adjective
collaboration	“B1”	Noun
archive	“B1”	Noun
mission	“B1”	Noun
judgement	“B1”	Noun
resolution	“B1”	Noun
primarily	“B1”	Adverb
interaction	“B1”	Noun
contrast	“B1”	Noun
impose	“B1”	Verb
journal	“B1”	Noun
pilot	“B1”	Noun
server	“B1”	Noun
hence	“B1”	Adverb
establishment	“B1”	Noun
interpretation	“B1”	Noun
arrival	“B1”	Noun
Christianity	“B1”	Noun
chief	“B1”	Adjective
Atlantic	“B1”	Noun
integrate	“B1”	Verb
availability	“B1”	Noun
discipline	“B1”	Noun
finance	“B1”	Noun
derive	“B1”	Verb
leadership	“B1”	Noun
Egypt	“B1”	Noun
Islamic	“B1”	Adjective
entertainment	“B1”	Noun
operator	“B1”	Noun
Soviet	“B1”	Adjective
sustainable	“B1”	Adjective
justice	“B1”	Noun
launch	“B1”	Noun
heat	“B1”	Noun
seminar	“B1”	Noun
observation	“B1”	Noun
loan	“B1”	Noun
metal	“B1”	Noun
ordinary	“B1”	Adjective
disabled	“B1”	Adjective
noise	“B1”	Noun
coast	“B1”	Noun
mix	“B1”	Noun
surprise	“B1”	Noun
minister	“B1”	Noun
wave	“B1”	Noun
storage	“B1”	Noun
attack	“B1”	Verb
talent	“B1”	Noun
definitely	“B1”	Adverb
severe	“B1”	Adjective
wild	“B1”	Adjective
beauty	“B1”	Noun
superb	“B1”	Adjective
dedicate	“B1”	Verb
transform	“B1”	Verb
sequence	“B1”	Noun
command	“B1”	Noun
certificate	“B1”	Noun
parking	“B1”	Noun
remote	“B1”	Adjective
fuel	“B1”	Noun
railway	“B1”	Noun
step	“B1”	Verb
bind	“B1”	Verb
Muslim	“B1”	Adjective
religion	“B1”	Noun
Iran	“B1”	Noun
judge	“B1”	Verb
female	“B1”	Adjective
soul	“B1”	Noun
climb	“B1”	Verb
cross	“B1”	Noun
coach	“B1”	Noun
pleasure	“B1”	Noun
switch	“B1”	Verb
Turkey	“B1”	Noun
confident	“B1”	Adjective
